City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tuktoyaktuk,CA,26.6,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
4,Vestmannaeyjar,IS,41.67,overcast clouds,63.4427,-20.2734,Glamping & Camping
5,Busselton,AU,53.46,overcast clouds,-33.65,115.3333,Observatory Guest House
6,Tarbagatay,RU,36.93,broken clouds,51.4803,107.3602,"Meditativnyy Tsentr ""Sansara"""
7,Oktyabrskiy,RU,48.63,overcast clouds,54.4815,53.471,Гостиница Октябрьская
9,Geraldton,AU,41.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
18,Punta Arenas,CL,50.11,scattered clouds,-53.15,-70.9167,Hotel Hain
20,Launceston,AU,49.64,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
23,The Pas,CA,39.22,overcast clouds,53.8251,-101.2541,Wescana Inn
24,Dalvik,IS,37.33,overcast clouds,65.9702,-18.5286,Dalvík Hostel
28,Mataura,NZ,48.85,few clouds,-46.1927,168.8643,Ellie's Villa
30,Hobart,AU,52.27,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
33,Chebarkul,RU,43.39,broken clouds,54.9749,60.3633,"Ural'skiye Zori, Gostinichnyy Kompleks"
34,Nizhniy Odes,RU,40.15,light rain,63.6445,54.856,Gostinitsa Uyut
37,Torbay,CA,54.75,few clouds,47.6666,-52.7314,Gallows Cove
38,Husavik,IS,35.96,overcast clouds,66.0449,-17.3389,Bjarnabúð
46,Kodiak,US,41.92,broken clouds,57.79,-152.4072,Best Western Kodiak Inn
48,Nanortalik,GL,30.2,scattered clouds,60.1432,-45.2371,Hotel Kap Farvel
51,Pangody,RU,37.92,overcast clouds,65.85,74.4859,Elizaveta Shevchuk's House
53,Jamestown,US,53.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
60,College,US,27.21,few clouds,64.8569,-147.8028,Pike's Waterfront Lodge
63,New Norfolk,AU,51.93,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
64,Aklavik,CA,26.6,overcast clouds,68.2191,-135.0107,Aklavik Inn
66,Chuy,UY,52.97,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
68,Yellowknife,CA,39.72,broken clouds,62.456,-114.3525,The Explorer Hotel
72,Qaqortoq,GL,26.74,clear sky,60.7167,-46.0333,Siniffik Inn
80,Hovd,MN,32.95,clear sky,48.0056,91.6419,Hotel Buyant
81,Ushuaia,AR,44.26,broken clouds,-54.8,-68.3,Albatross Hotel
85,Cuxhaven,DE,53.96,mist,53.8718,8.6909,Best Western Hotel Das Donners
91,Barrow,US,27.0,overcast clouds,71.2906,-156.7887,King Eider Inn
93,Norman Wells,CA,28.44,overcast clouds,65.282,-126.8329,Heritage Hotel
94,Nuuk,GL,29.88,clear sky,64.1835,-51.7216,Vandrehuset
99,Severo-Kurilsk,RU,43.79,overcast clouds,50.6789,156.125,Kak Doma
101,Berlevag,NO,35.6,clear sky,70.8578,29.0864,Kvitbrakka
102,Stargard Szczecinski,PL,52.83,overcast clouds,53.3367,15.0499,"Hotel - Restauracja "" Spichlerz"""
104,Pervomaysk,UA,45.84,clear sky,48.0443,30.8507,Hotelʹ Yevrolider
105,Nikolskoye,RU,42.69,overcast clouds,59.7035,30.7861,Tourist House - Sablino
108,Taicheng,CN,51.42,overcast clouds,38.731,113.228,五台山康旅酒店
115,Goderich,CA,52.92,broken clouds,43.7501,-81.7165,Harmony Inn
119,Kamaishi,JP,53.47,clear sky,39.2667,141.8833,Hotel Route Inn Kamaishi
120,Yuzhnyy,RU,35.98,clear sky,53.2542,83.6936,Golden Horseshoe
121,Mar Del Plata,AR,54.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
123,Raudeberg,NO,47.07,broken clouds,61.9875,5.1352,Nordre Silda.
124,Comodoro Rivadavia,AR,53.56,broken clouds,-45.8667,-67.5,Austral Hotel
129,Olafsvik,IS,39.99,broken clouds,64.8945,-23.7142,Hotel Olafsvik
132,Ornskoldsvik,SE,45.55,fog,63.2909,18.7153,ファーストホテル スタット
141,Codrington,AU,50.31,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
142,Aktash,RU,23.34,clear sky,50.3,87.7333,Yolki Zelonyye
148,Asau,RO,49.28,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
156,Ketchikan,US,53.1,moderate rain,55.3422,-131.6461,Snow's Cove Lodge
164,Mount Gambier,AU,51.71,light intensity shower rain,-37.8333,140.7667,The Commodore
165,Ilulissat,GL,26.62,broken clouds,69.2167,-51.1,Hotel Arctic
169,Chern,RU,39.85,broken clouds,53.4523,36.9145,Красная Нива
171,Lasa,IT,51.37,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
172,Tasiilaq,GL,32.16,broken clouds,65.6145,-37.6368,The Red House
174,Lebu,CL,50.5,clear sky,-37.6167,-73.65,Hostal Las Lilas
180,Komsomolskiy,UZ,54.32,broken clouds,40.4272,71.7189,Ikathouse
181,Svetlogorsk,BY,48.18,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
194,Visby,SE,53.06,overcast clouds,57.6409,18.296,Best Western Solhem Hotel Visby
196,Kaitangata,NZ,51.06,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
211,At-Bashi,KG,39.61,clear sky,41.1702,75.8106,Hostel At-Bashy
