City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuktoyaktuk,CA,2022-10-13 20:59:04,69.4541,-133.0374,26.6,86,100,6.91,overcast clouds
1,Troitskoye,RU,2022-10-13 20:59:05,52.9821,84.6757,36.21,77,10,6.55,clear sky
2,Cape Town,ZA,2022-10-13 20:59:06,-33.9258,18.4232,61.92,78,0,6.91,clear sky
3,Arraial Do Cabo,BR,2022-10-13 20:59:07,-22.9661,-42.0278,76.86,73,0,20.71,clear sky
4,Vestmannaeyjar,IS,2022-10-13 20:59:07,63.4427,-20.2734,41.67,65,100,7.56,overcast clouds
5,Busselton,AU,2022-10-13 20:59:08,-33.65,115.3333,53.46,64,96,1.39,overcast clouds
6,Tarbagatay,RU,2022-10-13 20:59:09,51.4803,107.3602,36.93,75,79,10.78,broken clouds
7,Oktyabrskiy,RU,2022-10-13 20:59:10,54.4815,53.471,48.63,82,100,2.48,overcast clouds
8,Sitka,US,2022-10-13 20:59:10,57.0531,-135.33,56.75,98,100,17.74,moderate rain
9,Geraldton,AU,2022-10-13 20:59:11,-28.7667,114.6,41.41,87,0,5.75,clear sky
10,Guerrero Negro,MX,2022-10-13 20:59:12,27.9769,-114.0611,74.03,69,21,17.31,few clouds
11,Sola,VU,2022-10-13 20:59:13,-13.8833,167.55,79.21,77,17,8.97,few clouds
12,Saint-Philippe,RE,2022-10-13 20:59:14,-21.3585,55.7679,69.39,84,21,10.54,light rain
13,Praya,CV,2022-10-13 20:59:15,14.9215,-23.5087,79.34,89,20,16.11,few clouds
14,Georgetown,MY,2022-10-13 20:59:16,5.4112,100.3354,77.9,89,40,5.01,scattered clouds
15,Avera,US,2022-10-13 20:59:16,33.194,-82.5271,78.85,48,93,9.48,overcast clouds
16,Vaini,TO,2022-10-13 20:59:17,-21.2,-175.2,71.76,94,100,3.44,light rain
17,Ponta Do Sol,PT,2022-10-13 20:59:18,32.6667,-17.1,73.0,75,39,5.99,scattered clouds
18,Punta Arenas,CL,2022-10-13 20:59:18,-53.15,-70.9167,50.11,46,40,20.71,scattered clouds
19,Kavaratti,IN,2022-10-13 20:59:19,10.5669,72.642,80.62,76,88,1.61,overcast clouds
20,Launceston,AU,2022-10-13 20:59:20,-41.45,147.1667,49.64,90,65,16.11,broken clouds
21,Liberty,US,2022-10-13 20:59:20,31.8335,-81.5004,84.27,54,100,4.0,overcast clouds
22,Qaanaaq,GL,2022-10-13 20:59:21,77.484,-69.3632,19.63,68,100,8.28,light snow
23,The Pas,CA,2022-10-13 20:59:21,53.8251,-101.2541,39.22,60,100,26.46,overcast clouds
24,Dalvik,IS,2022-10-13 20:57:19,65.9702,-18.5286,37.33,94,100,6.64,overcast clouds
25,Touros,BR,2022-10-13 20:59:23,-5.1989,-35.4608,78.13,78,21,17.9,few clouds
26,Karratha,AU,2022-10-13 20:59:24,-20.7377,116.8463,68.23,41,83,10.04,broken clouds
27,Capinzal,BR,2022-10-13 20:59:24,-27.3436,-51.6119,66.54,96,87,3.42,overcast clouds
28,Mataura,NZ,2022-10-13 20:59:25,-46.1927,168.8643,48.85,68,16,5.08,few clouds
29,Saint George,US,2022-10-13 20:57:17,37.1041,-113.5841,86.43,16,0,1.99,clear sky
30,Hobart,AU,2022-10-13 20:59:26,-42.8794,147.3294,52.27,74,75,14.97,broken clouds
31,Arman,RU,2022-10-13 20:59:26,59.7,150.1667,28.89,87,100,5.84,overcast clouds
32,Cabo San Lucas,MX,2022-10-13 20:56:17,22.8909,-109.9124,90.61,58,7,8.57,clear sky
33,Chebarkul,RU,2022-10-13 20:59:27,54.9749,60.3633,43.39,64,57,3.53,broken clouds
34,Nizhniy Odes,RU,2022-10-13 20:59:28,63.6445,54.856,40.15,93,100,2.08,light rain
35,Cayenne,GF,2022-10-13 20:54:57,4.9333,-52.3333,77.04,94,79,2.3,heavy intensity rain
36,Khatanga,RU,2022-10-13 20:59:29,71.9667,102.5,4.62,98,97,7.47,overcast clouds
37,Torbay,CA,2022-10-13 20:55:50,47.6666,-52.7314,54.75,80,20,8.05,few clouds
38,Husavik,IS,2022-10-13 20:57:19,66.0449,-17.3389,35.96,88,100,6.35,overcast clouds
39,Bredasdorp,ZA,2022-10-13 20:59:30,-34.5322,20.0403,55.4,91,100,4.63,overcast clouds
40,Albany,US,2022-10-13 20:59:31,42.6001,-73.9662,67.23,84,100,3.0,overcast clouds
