City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.1927,168.8643,47.23,61,99,1.92,NZ,2022-10-12 21:18:51
1,Kodiak,57.79,-152.4072,42.31,61,100,21.85,US,2022-10-12 21:21:12
2,Ribeira Grande,38.5167,-28.7,72.77,83,6,5.99,PT,2022-10-12 21:21:14
3,Mehamn,71.0357,27.8492,42.75,81,75,19.57,NO,2022-10-12 21:21:15
4,Hithadhoo,-0.6,73.0833,79.09,81,93,13.2,MV,2022-10-12 21:21:15
5,Cape Town,-33.9258,18.4232,64.11,85,75,18.41,ZA,2022-10-12 21:17:15
6,Bluff,-46.6,168.3333,47.79,64,99,3.67,NZ,2022-10-12 21:21:18
7,Lielvarde,56.7207,24.8074,41.67,83,47,2.91,LV,2022-10-12 21:21:18
8,Tuktoyaktuk,69.4541,-133.0374,32.0,74,40,12.66,CA,2022-10-12 21:21:19
9,Fort Payne,34.4442,-85.7197,70.21,43,95,10.98,US,2022-10-12 21:21:19
10,Norman Wells,65.282,-126.8329,30.24,80,75,2.3,CA,2022-10-12 21:21:19
11,Rikitea,-23.1203,-134.9692,68.14,63,0,16.17,PF,2022-10-12 21:18:40
12,Bredasdorp,-34.5322,20.0403,59.63,97,100,2.95,ZA,2022-10-12 21:21:21
13,Ushuaia,-54.8,-68.3,38.86,81,75,24.16,AR,2022-10-12 21:17:53
14,Xining,36.6167,101.7667,39.33,67,100,2.89,CN,2022-10-12 21:20:39
15,Bradford,53.7939,-1.7521,53.62,94,40,8.05,GB,2022-10-12 21:21:25
16,Fjerritslev,57.0813,9.2664,49.89,84,100,16.35,DK,2022-10-12 21:21:26
17,Durango,24.8333,-104.8333,74.79,32,6,5.01,MX,2022-10-12 21:16:59
18,Clyde River,70.4692,-68.5914,21.43,79,75,13.8,CA,2022-10-12 21:21:28
19,Santa Cruz Cabralia,-16.2781,-39.0247,77.23,78,20,6.91,BR,2022-10-12 21:21:28
20,Lamar,33.6668,-95.5836,93.63,42,40,9.22,US,2022-10-12 21:21:29
21,Barra Do Garcas,-15.89,-52.2567,88.38,51,0,0.0,BR,2022-10-12 21:21:24
22,Olafsvik,64.8945,-23.7142,41.47,86,86,5.77,IS,2022-10-12 21:20:25
23,Anzio,41.4853,12.6179,70.39,82,100,6.38,IT,2022-10-12 21:20:44
24,Tocopilla,-22.092,-70.1979,62.28,64,21,6.96,CL,2022-10-12 21:21:33
25,Aitape,-3.1374,142.3475,76.37,92,100,4.97,PG,2022-10-12 21:21:33
26,Georgetown,5.4112,100.3354,80.89,90,20,4.61,MY,2022-10-12 21:20:53
27,Asfi,32.2994,-9.2372,69.69,82,1,16.91,MA,2022-10-12 21:21:35
28,Najran,17.4924,44.1277,68.65,20,0,2.15,SA,2022-10-12 21:21:36
29,Rawson,-43.3002,-65.1023,53.13,30,70,20.27,AR,2022-10-12 21:19:26
30,Okha,53.5739,142.9478,36.64,82,53,10.36,RU,2022-10-12 21:17:58
31,Khani,41.9563,42.9566,42.37,76,100,4.12,GE,2022-10-12 21:21:39
32,Saint-Francois,46.4154,3.9054,51.67,100,20,3.44,FR,2022-10-12 21:21:41
33,Butaritari,3.0707,172.7902,82.02,77,69,22.75,KI,2022-10-12 21:21:44
34,Jacareacanga,-6.2222,-57.7528,85.82,56,88,4.47,BR,2022-10-12 21:21:45
35,Moose Factory,51.2585,-80.6094,62.6,72,100,18.41,CA,2022-10-12 21:21:46
36,Taoudenni,22.6783,-3.9836,95.52,16,98,8.08,ML,2022-10-12 21:21:11
37,Cherskiy,68.75,161.3,5.59,92,100,5.97,RU,2022-10-12 21:21:48
38,Buala,-8.145,159.5921,82.08,74,91,5.35,SB,2022-10-12 21:21:49
39,Constitucion,-35.3333,-72.4167,58.24,63,42,20.31,CL,2022-10-12 21:21:50
40,Bayburt,40.2589,40.2278,51.62,46,100,2.3,TR,2022-10-12 21:21:52
41,Dikson,73.5069,80.5464,29.39,74,100,4.16,RU,2022-10-12 21:18:45
42,Atuona,-9.8,-139.0333,77.14,79,67,20.67,PF,2022-10-12 21:18:59
43,Belyy Yar,53.6039,91.3903,39.85,87,0,13.42,RU,2022-10-12 21:21:55
44,Tetouan,35.5711,-5.3724,66.97,77,75,9.22,MA,2022-10-12 21:21:55
45,Severo-Kurilsk,50.6789,156.125,43.79,83,100,40.62,RU,2022-10-12 21:21:56
46,Punta Arenas,-53.15,-70.9167,41.11,65,40,34.52,CL,2022-10-12 21:21:57
47,Zhanjiang,21.2815,110.3427,64.99,61,18,7.11,CN,2022-10-12 21:21:58
48,Alice Springs,-23.7,133.8833,56.75,72,75,10.36,AU,2022-10-12 21:19:19
49,Lardos,36.0942,28.0157,69.94,78,3,13.6,GR,2022-10-12 21:22:00
50,Ancud,-41.8697,-73.8203,47.75,51,65,15.26,CL,2022-10-12 21:17:01
51,Saint-Leu,-21.15,55.2833,72.95,100,29,5.06,RE,2022-10-12 21:22:02
52,Jamestown,42.097,-79.2353,67.95,50,40,12.66,US,2022-10-12 21:22:04
53,Varhaug,58.6147,5.6457,51.89,90,100,23.44,NO,2022-10-12 21:22:06
54,Hilo,19.7297,-155.09,92.28,67,20,8.05,US,2022-10-12 21:17:47
55,Busselton,-33.65,115.3333,45.54,80,16,3.31,AU,2022-10-12 21:17:47
56,Kapaa,22.0752,-159.319,84.18,78,0,6.91,US,2022-10-12 21:22:09
57,Springfield,37.2153,-93.2982,73.65,43,20,14.97,US,2022-10-12 21:21:05
58,Los Llanos De Aridane,28.6585,-17.9182,69.55,83,75,14.97,ES,2022-10-12 21:22:11
59,Saint George,37.1041,-113.5841,86.43,16,0,1.99,US,2022-10-12 21:22:12
60,Conakry,9.538,-13.6773,79.23,84,88,16.91,GN,2022-10-12 21:20:35
61,Hulan Ergi,47.2042,123.6333,43.02,45,4,7.58,CN,2022-10-12 21:22:15
62,Leningradskiy,69.3833,178.4167,16.21,77,55,8.86,RU,2022-10-12 21:22:16
63,Bambous Virieux,-20.3428,57.7575,71.85,78,40,9.22,MU,2022-10-12 21:18:55
64,Ginda,30.6945,78.4932,50.72,75,0,6.67,IN,2022-10-12 21:22:18
65,Port Alfred,-33.5906,26.891,68.18,92,100,3.0,ZA,2022-10-12 21:22:19
66,Hobart,-42.8794,147.3294,60.66,82,100,24.16,AU,2022-10-12 21:16:25
67,Portland,45.5234,-122.6762,81.75,46,20,6.91,US,2022-10-12 21:19:21
68,Castro,-24.7911,-50.0119,63.66,93,94,5.95,BR,2022-10-12 21:22:22
69,Baracoa,20.3467,-74.4958,83.23,76,100,7.43,CU,2022-10-12 21:22:23
70,Mar Del Plata,-38.0023,-57.5575,61.09,64,0,11.01,AR,2022-10-12 21:22:26
71,Geraldton,-28.7667,114.6,41.41,93,0,0.0,AU,2022-10-12 21:22:26
72,Codrington,-38.2667,141.9667,51.67,95,100,5.12,AU,2022-10-12 21:22:27
73,Capim Grosso,-11.3811,-40.0128,80.04,46,24,16.93,BR,2022-10-12 21:22:28
74,Airai,-8.9266,125.4092,59.41,85,76,1.5,TL,2022-10-12 21:22:29
75,Ust-Tsilma,65.441,52.1498,39.9,96,100,4.5,RU,2022-10-12 21:22:30
76,Babushkin,51.7122,105.8647,42.17,61,27,6.42,RU,2022-10-12 21:22:31
